西元日期,星期,是否放假,備註
20180101,一,2,開國紀念日
20180102,二,0,
20180103,三,0,
20180104,四,0,
20180105,五,0,
20180106,六,2,
20180107,日,2,
20180108,一,0,
20180109,二,0,
20180110,三,0,
20180111,四,0,
20180112,五,0,
20180113,六,2,
20180114,日,2,
20180115,一,0,
20180116,二,0,
20180117,三,0,
20180118,四,0,
20180119,五,0,
20180120,六,2,
20180121,日,2,
20180122,一,0,
20180123,二,0,
20180124,三,0,
20180125,四,0,
20180126,五,0,
20180127,六,2,
20180128,日,2,
20180129,一,0,
20180130,二,0,
20180131,三,0,
20180201,四,0,
20180202,五,0,
20180203,六,2,
20180204,日,2,
20180205,一,0,
20180206,二,0,
20180207,三,0,
20180208,四,0,
20180209,五,0,
20180210,六,2,
20180211,日,2,
20180212,一,0,
20180213,二,0,
20180214,三,0,
20180215,四,2,農曆除夕
20180216,五,2,春節
20180217,六,2,春節
20180218,日,2,春節
20180219,一,2,補假
20180220,二,2,補假
20180221,三,0,
20180222,四,0,
20180223,五,0,
20180224,六,2,
20180225,日,2,
20180226,一,0,
20180227,二,0,
20180228,三,2,和平紀念日
20180301,四,0,
20180302,五,0,
20180303,六,2,
20180304,日,2,
20180305,一,0,
20180306,二,0,
20180307,三,0,
20180308,四,0,
20180309,五,0,
20180310,六,2,
20180311,日,2,
20180312,一,0,
20180313,二,0,
20180314,三,0,
20180315,四,0,
20180316,五,0,
20180317,六,2,
20180318,日,2,
20180319,一,0,
20180320,二,0,
20180321,三,0,
20180322,四,0,
20180323,五,0,
20180324,六,2,
20180325,日,2,
20180326,一,0,
20180327,二,0,
20180328,三,0,
20180329,四,0,
20180330,五,0,
20180331,六,0,調整上班
20180401,日,2,
20180402,一,0,
20180403,二,0,
20180404,三,2,兒童節
20180405,四,2,民族掃墓節
20180406,五,2,調整放假
20180407,六,2,
20180408,日,2,
20180409,一,0,
20180410,二,0,
20180411,三,0,
20180412,四,0,
20180413,五,0,
20180414,六,2,
20180415,日,2,
20180416,一,0,
20180417,二,0,
20180418,三,0,
20180419,四,0,
20180420,五,0,
20180421,六,2,
20180422,日,2,
20180423,一,0,
20180424,二,0,
20180425,三,0,
20180426,四,0,
20180427,五,0,
20180428,六,2,
20180429,日,2,
20180430,一,0,
20180501,二,0,
20180502,三,0,
20180503,四,0,
20180504,五,0,
20180505,六,2,
20180506,日,2,
20180507,一,0,
20180508,二,0,
20180509,三,0,
20180510,四,0,
20180511,五,0,
20180512,六,2,
20180513,日,2,
20180514,一,0,
20180515,二,0,
20180516,三,0,
20180517,四,0,
20180518,五,0,
20180519,六,2,
20180520,日,2,
20180521,一,0,
20180522,二,0,
20180523,三,0,
20180524,四,0,
20180525,五,0,
20180526,六,2,
20180527,日,2,
20180528,一,0,
20180529,二,0,
20180530,三,0,
20180531,四,0,
20180601,五,0,
20180602,六,2,
20180603,日,2,
